0 с,   73.00 м
1153 с,   253941.13 м
1154 с,   253950.78 м
1155 с,   253960.38 м
1156 с,   253969.95 м
1157 с,   253979.48 м
1158 с,   253988.97 м
1159 с,   253998.42 м
1160 с,   254007.83 м
1161 с,   254017.21 м
1162 с,   254026.54 м
1163 с,   254035.83 м
1164 с,   254045.08 м
1165 с,   254054.30 м
1166 с,   254063.47 м
1167 с,   254072.60 м
1168 с,   254081.70 м
1169 с,   254090.75 м
1170 с,   254099.76 м
1171 с,   254108.73 м
1172 с,   254117.66 м
1173 с,   254126.55 м
1174 с,   254135.40 м
1175 с,   254144.21 м
1176 с,   254152.98 м
1177 с,   254161.71 м
1178 с,   254170.39 м
1179 с,   254179.04 м
1180 с,   254187.64 м
1181 с,   254196.20 м
1182 с,   254204.72 м
1183 с,   254213.20 м
1184 с,   254221.64 м
1185 с,   254230.04 м
1186 с,   254238.39 м
1187 с,   254246.70 м
1188 с,   254254.97 м
1189 с,   254263.20 м
1190 с,   254271.39 м
1191 с,   254279.53 м
1192 с,   254287.63 м
1193 с,   254295.69 м
1194 с,   254303.71 м
1195 с,   254311.68 м
1196 с,   254319.62 м
1197 с,   254327.51 м
1198 с,   254335.35 м
1199 с,   254343.16 м
1200 с,   254350.92 м
1201 с,   254358.64 м
1202 с,   254366.31 м
1203 с,   254373.94 м
1204 с,   254381.53 м
1205 с,   254389.08 м
1206 с,   254396.58 м
1207 с,   254404.04 м
1208 с,   254411.46 м
1209 с,   254418.83 м
1210 с,   254426.16 м
1211 с,   254433.44 м
1212 с,   254440.68 м
1213 с,   254447.88 м
1214 с,   254455.03 м
1215 с,   254462.14 м
1216 с,   254469.21 м
1217 с,   254476.23 м
1218 с,   254483.21 м
1219 с,   254490.14 м
1220 с,   254497.03 м
1221 с,   254503.87 м
1222 с,   254510.67 м
1223 с,   254517.42 м
1224 с,   254524.14 м
1225 с,   254530.80 м
1226 с,   254537.42 м
1227 с,   254544.00 м
1228 с,   254550.53 м
1229 с,   254557.02 м
1230 с,   254563.46 м
1231 с,   254569.85 м
1232 с,   254576.21 м
1233 с,   254582.51 м
1234 с,   254588.77 м
1235 с,   254594.99 м
1236 с,   254601.16 м
1237 с,   254607.28 м
1238 с,   254613.36 м
1239 с,   254619.40 м
1240 с,   254625.39 м
1241 с,   254631.33 м
1242 с,   254637.23 м
1243 с,   254643.08 м
1244 с,   254648.88 м
1245 с,   254654.64 м
1246 с,   254660.36 м
1247 с,   254666.02 м
1248 с,   254671.64 м
1249 с,   254677.22 м
1250 с,   254682.75 м
1251 с,   254688.23 м
1252 с,   254693.67 м
1253 с,   254699.06 м
1254 с,   254704.40 м
1255 с,   254709.70 м
1256 с,   254714.95 м
1257 с,   254720.16 м
1258 с,   254725.32 м
1259 с,   254730.43 м
1260 с,   254735.49 м
1261 с,   254740.51 м
1262 с,   254745.48 м
1263 с,   254750.41 м
1264 с,   254755.28 м
1265 с,   254760.11 м
1266 с,   254764.90 м
1267 с,   254769.63 м
1268 с,   254774.32 м
1269 с,   254778.97 м
1270 с,   254783.56 м
1271 с,   254788.11 м
1272 с,   254792.61 м
1273 с,   254797.06 м
1274 с,   254801.47 м
1275 с,   254805.83 м
1276 с,   254810.14 м
1277 с,   254814.40 м
1278 с,   254818.62 м
1279 с,   254822.79 м
1280 с,   254826.91 м
1281 с,   254830.98 м
1282 с,   254835.01 м
1283 с,   254838.99 м
1284 с,   254842.92 м
1285 с,   254846.80 м
1286 с,   254850.63 м
1287 с,   254854.42 м
1288 с,   254858.16 м
1289 с,   254861.85 м
1290 с,   254865.49 м
1291 с,   254869.09 м
1292 с,   254872.63 м
1293 с,   254876.13 м
1294 с,   254879.58 м
1295 с,   254882.99 м
1296 с,   254886.34 м
1297 с,   254889.65 м
1298 с,   254892.90 м
1299 с,   254896.11 м
1300 с,   254899.28 м
1301 с,   254902.39 м
1302 с,   254905.45 м
1303 с,   254908.47 м
1304 с,   254911.44 м
1305 с,   254914.36 м
1306 с,   254917.23 м
1307 с,   254920.05 м
1308 с,   254922.82 м
1309 с,   254925.55 м
1310 с,   254928.22 м
1311 с,   254930.85 м
1312 с,   254933.43 м
1313 с,   254935.96 м
1314 с,   254938.44 м
1315 с,   254940.87 м
1316 с,   254943.26 м
1317 с,   254945.59 м
1318 с,   254947.88 м
1319 с,   254950.12 м
1320 с,   254952.31 м
1321 с,   254954.45 м
1322 с,   254956.54 м
1323 с,   254958.58 м
1324 с,   254960.57 м
1325 с,   254962.52 м
1326 с,   254964.41 м
1327 с,   254966.26 м
1328 с,   254968.06 м
1329 с,   254969.80 м
1330 с,   254971.50 м
1331 с,   254973.15 м
1332 с,   254974.76 м
1333 с,   254976.31 м
1334 с,   254977.81 м
1335 с,   254979.26 м
1336 с,   254980.67 м
1337 с,   254982.02 м
1338 с,   254983.33 м
1339 с,   254984.59 м
1340 с,   254985.79 м
1341 с,   254986.95 м
1342 с,   254988.06 м
1343 с,   254989.12 м
1344 с,   254990.13 м
1345 с,   254991.10 м
1346 с,   254992.01 м
1347 с,   254992.87 м
1348 с,   254993.68 м
1349 с,   254994.45 м
1350 с,   254995.16 м
1351 с,   254995.83 м
1352 с,   254996.45 м
1353 с,   254997.01 м
1354 с,   254997.53 м
1355 с,   254998.00 м
1356 с,   254998.42 м
1357 с,   254998.79 м
1358 с,   254999.11 м
1359 с,   254999.38 м
1360 с,   254999.61 м
1361 с,   254999.78 м
1362 с,   254999.90 м
1363 с,   254999.98 м
1364 с,   255000.00 м
1365 с,   254999.98 м
1366 с,   254999.90 м
1367 с,   254999.78 м
1368 с,   254999.61 м
1369 с,   254999.38 м
1370 с,   254999.11 м
1371 с,   254998.79 м
1372 с,   254998.42 м
1373 с,   254998.00 м
1374 с,   254997.53 м
1375 с,   254997.01 м
1376 с,   254996.45 м
1377 с,   254995.83 м
1378 с,   254995.16 м
1379 с,   254994.45 м
1380 с,   254993.68 м
1381 с,   254992.87 м
1382 с,   254992.01 м
1383 с,   254991.10 м
1384 с,   254990.13 м
1385 с,   254989.12 м
1386 с,   254988.06 м
1387 с,   254986.95 м
1388 с,   254985.79 м
1389 с,   254984.59 м
1390 с,   254983.33 м
1391 с,   254982.02 м
1392 с,   254980.67 м
1393 с,   254979.26 м
1394 с,   254977.81 м
1395 с,   254976.31 м
1396 с,   254974.76 м
1397 с,   254973.15 м
1398 с,   254971.50 м
1399 с,   254969.80 м
1400 с,   254968.06 м
1401 с,   254966.26 м
1402 с,   254964.41 м
1403 с,   254962.52 м
1404 с,   254960.57 м
1405 с,   254958.58 м
1406 с,   254956.54 м
1407 с,   254954.45 м
1408 с,   254952.31 м
1409 с,   254950.12 м
1410 с,   254947.88 м
1411 с,   254945.59 м
1412 с,   254943.26 м
1413 с,   254940.87 м
1414 с,   254938.44 м
1415 с,   254935.96 м
1416 с,   254933.43 м
1417 с,   254930.85 м
1418 с,   254928.22 м
1419 с,   254925.55 м
1420 с,   254922.82 м
1421 с,   254920.05 м
1422 с,   254917.23 м
1423 с,   254914.36 м
1424 с,   254911.44 м
1425 с,   254908.47 м
1426 с,   254905.45 м
1427 с,   254902.39 м
1428 с,   254899.28 м
1429 с,   254896.11 м
1430 с,   254892.90 м
1431 с,   254889.65 м
1432 с,   254886.34 м
1433 с,   254882.99 м
1434 с,   254879.58 м
1435 с,   254876.13 м
1436 с,   254872.63 м
1437 с,   254869.09 м
1438 с,   254865.49 м
1439 с,   254861.85 м
1440 с,   254858.16 м
1441 с,   254854.42 м
1442 с,   254850.63 м
1443 с,   254846.80 м
1444 с,   254842.92 м
1445 с,   254838.99 м
1446 с,   254835.01 м
1447 с,   254830.98 м
1448 с,   254826.91 м
1449 с,   254822.79 м
1450 с,   254818.62 м
1451 с,   254814.40 м
1452 с,   254810.14 м
1453 с,   254805.83 м
1454 с,   254801.47 м
1455 с,   254797.06 м
1456 с,   254792.61 м
1457 с,   254788.11 м
1458 с,   254783.56 м
1459 с,   254778.97 м
1460 с,   254774.32 м
1461 с,   254769.63 м
1462 с,   254764.90 м
1463 с,   254760.11 м
1464 с,   254755.28 м
1465 с,   254750.41 м
1466 с,   254745.48 м
1467 с,   254740.51 м
1468 с,   254735.49 м
1469 с,   254730.43 м
1470 с,   254725.32 м
1471 с,   254720.16 м
1472 с,   254714.95 м
1473 с,   254709.70 м
1474 с,   254704.40 м
1475 с,   254699.06 м
1476 с,   254693.67 м
1477 с,   254688.23 м
1478 с,   254682.75 м
1479 с,   254677.22 м
1480 с,   254671.64 м
1481 с,   254666.02 м
1482 с,   254660.36 м
1483 с,   254654.64 м
1484 с,   254648.88 м
1485 с,   254643.08 м
1486 с,   254637.23 м
1487 с,   254631.33 м
1488 с,   254625.39 м
1489 с,   254619.40 м
1490 с,   254613.36 м
1491 с,   254607.28 м
1492 с,   254601.16 м
1493 с,   254594.99 м
1494 с,   254588.77 м
1495 с,   254582.51 м
1496 с,   254576.21 м
1497 с,   254569.85 м
1498 с,   254563.46 м
1499 с,   254557.02 м
1500 с,   254550.53 м
1501 с,   254544.00 м
1502 с,   254537.42 м
1503 с,   254530.80 м
1504 с,   254524.14 м
1505 с,   254517.42 м
1506 с,   254510.67 м
1507 с,   254503.87 м
1508 с,   254497.03 м
1509 с,   254490.14 м
1510 с,   254483.21 м
1511 с,   254476.23 м
1512 с,   254469.21 м
1513 с,   254462.14 м
1514 с,   254455.03 м
1515 с,   254447.88 м
1516 с,   254440.68 м
1517 с,   254433.44 м
1518 с,   254426.16 м
1519 с,   254418.83 м
1520 с,   254411.46 м
1521 с,   254404.04 м
1522 с,   254396.58 м
1523 с,   254389.08 м
1524 с,   254381.53 м
1525 с,   254373.94 м
1526 с,   254366.31 м
1527 с,   254358.64 м
1528 с,   254350.92 м
1529 с,   254343.16 м
1530 с,   254335.35 м
1531 с,   254327.51 м
1532 с,   254319.62 м
1533 с,   254311.68 м
1534 с,   254303.71 м
1535 с,   254295.69 м
1536 с,   254287.63 м
1537 с,   254279.53 м
1538 с,   254271.39 м
1539 с,   254263.20 м
1540 с,   254254.97 м
1541 с,   254246.70 м
1542 с,   254238.39 м
1543 с,   254230.04 м
1544 с,   254221.64 м
1545 с,   254213.20 м
1546 с,   254204.72 м
1547 с,   254196.20 м
1548 с,   254187.64 м
1549 с,   254179.04 м
1550 с,   254170.39 м
1551 с,   254161.71 м
1552 с,   254152.98 м
1553 с,   254144.21 м
1554 с,   254135.40 м
1555 с,   254126.55 м
1556 с,   254117.66 м
1557 с,   254108.73 м
1558 с,   254099.76 м
1559 с,   254090.75 м
1560 с,   254081.70 м
1561 с,   254072.60 м
1562 с,   254063.47 м
1563 с,   254054.30 м
1564 с,   254045.08 м
1565 с,   254035.83 м
1566 с,   254026.54 м
1567 с,   254017.21 м
1568 с,   254007.83 м
1569 с,   253998.42 м
1570 с,   253988.97 м
1571 с,   253979.48 м
1572 с,   253969.95 м
1573 с,   253960.38 м
1574 с,   253950.78 м
1575 с,   253941.13 м
1576 с,   253931.44 м
1577 с,   253921.72 м
1578 с,   253911.95 м
1579 с,   253902.15 м
1580 с,   253892.31 м
1581 с,   253882.43 м
1582 с,   253872.52 м
1583 с,   253862.56 м
1584 с,   253852.57 м
1585 с,   253842.53 м
1586 с,   253832.47 м
1587 с,   253822.36 м
1588 с,   253812.21 м
1589 с,   253802.03 м
1590 с,   253791.81 м
1591 с,   253781.55 м
1592 с,   253771.26 м
1593 с,   253760.92 м
1594 с,   253750.56 м
1595 с,   253740.15 м
1596 с,   253729.71 м
1597 с,   253719.23 м
1598 с,   253708.71 м
1599 с,   253698.16 м
1600 с,   253687.57 м
1601 с,   253676.94 м
1602 с,   253666.28 м
1603 с,   253655.58 м
1604 с,   253644.84 м
1605 с,   253634.07 м
1606 с,   253623.27 м
1607 с,   253612.42 м
1608 с,   253601.55 м
1609 с,   253590.63 м
1610 с,   253579.68 м
1611 с,   253568.70 м
1612 с,   253557.68 м
1613 с,   253546.62 м
1614 с,   253535.53 м
1615 с,   253524.41 м
1616 с,   253513.25 м
1617 с,   253502.06 м
1618 с,   253490.83 м
1619 с,   253479.56 м
1620 с,   253468.27 м
1621 с,   253456.93 м
1622 с,   253445.57 м
1623 с,   253434.17 м
1624 с,   253422.74 м
1625 с,   253411.27 м
1626 с,   253399.77 м
1627 с,   253388.23 м
1628 с,   253376.66 м
1629 с,   253365.06 м
1630 с,   253353.43 м
1631 с,   253341.76 м
1632 с,   253330.06 м
1633 с,   253318.33 м
1634 с,   253306.56 м
1635 с,   253294.76 м
1636 с,   253282.93 м
1637 с,   253271.06 м
1638 с,   253259.17 м
1639 с,   253247.24 м
1640 с,   253235.28 м
1641 с,   253223.29 м
1642 с,   253211.26 м
1643 с,   253199.21 м
1644 с,   253187.12 м
1645 с,   253175.00 м
1646 с,   253162.85 м
1647 с,   253150.67 м
1648 с,   253138.46 м
1649 с,   253126.21 м
1650 с,   253113.94 м
1651 с,   253101.63 м
1652 с,   253089.30 м
1653 с,   253076.93 м
1654 с,   253064.54 м
1655 с,   253052.11 м
1656 с,   253039.65 м
1657 с,   253027.16 м
1658 с,   253014.65 м
1659 с,   253002.10 м
1660 с,   252989.52 м
1661 с,   252976.92 м
1662 с,   252964.28 м
1663 с,   252951.62 м
1664 с,   252938.93 м
1665 с,   252926.20 м
1666 с,   252913.45 м
1667 с,   252900.67 м
1668 с,   252887.86 м
1669 с,   252875.03 м
1670 с,   252862.16 м
1671 с,   252849.27 м
1672 с,   252836.34 м
1673 с,   252823.39 м
1674 с,   252810.42 м
1675 с,   252797.41 м
1676 с,   252784.38 м
1677 с,   252771.32 м
1678 с,   252758.23 м
1679 с,   252745.11 м
1680 с,   252731.97 м
1681 с,   252718.80 м
1682 с,   252705.61 м
1683 с,   252692.38 м
1684 с,   252679.13 м
1685 с,   252665.86 м
1686 с,   252652.56 м
1687 с,   252639.23 м
1688 с,   252625.87 м
1689 с,   252612.49 м
1690 с,   252599.09 м
1691 с,   252585.65 м
1692 с,   252572.20 м
1693 с,   252558.72 м
1694 с,   252545.21 м
1695 с,   252531.67 м
1696 с,   252518.12 м
1697 с,   252504.53 м
1698 с,   252490.93 м
1699 с,   252477.29 м
1700 с,   252463.64 м
1701 с,   252449.96 м
1702 с,   252436.25 м
1703 с,   252422.52 м
1704 с,   252408.77 м
1705 с,   252394.99 м
1706 с,   252381.19 м
1707 с,   252367.37 м
1708 с,   252353.52 м
1709 с,   252339.65 м
1710 с,   252325.76 м
1711 с,   252311.84 м
1712 с,   252297.90 м
1713 с,   252283.94 м
1714 с,   252269.95 м
1715 с,   252255.95 м
1716 с,   252241.92 м
1717 с,   252227.86 м
1718 с,   252213.79 м
1719 с,   252199.70 м
1720 с,   252185.58 м
1721 с,   252171.44 м
1722 с,   252157.28 м
1723 с,   252143.10 м
1724 с,   252128.90 м
1725 с,   252114.67 м
1726 с,   252100.43 м
1727 с,   252086.16 м
1728 с,   252071.88 м
1729 с,   252057.57 м
1730 с,   252043.25 м
1731 с,   252028.90 м
1732 с,   252014.53 м
1733 с,   252000.15 м
1734 с,   251985.74 м
1735 с,   251971.31 м
1736 с,   251956.87 м
1737 с,   251942.40 м
1738 с,   251927.92 м
1739 с,   251913.42 м
1740 с,   251898.90 м
1741 с,   251884.36 м
1742 с,   251869.80 м
1743 с,   251855.22 м
1744 с,   251840.62 м
1745 с,   251826.01 м
1746 с,   251811.38 м
1747 с,   251796.73 м
1748 с,   251782.06 м
1749 с,   251767.37 м
1750 с,   251752.67 м
1751 с,   251737.95 м
1752 с,   251723.21 м
1753 с,   251708.46 м
1754 с,   251693.69 м
1755 с,   251678.90 м
1756 с,   251664.10 м
1757 с,   251649.28 м
1758 с,   251634.44 м
1759 с,   251619.59 м
1760 с,   251604.72 м
1761 с,   251589.83 м
1762 с,   251574.93 м
1763 с,   251560.02 м
1764 с,   251545.08 м
1765 с,   251530.14 м
1766 с,   251515.18 м
1767 с,   251500.20 м
1768 с,   251485.21 м
1769 с,   251470.20 м
1770 с,   251455.18 м
1771 с,   251440.15 м
1772 с,   251425.10 м
1773 с,   251410.03 м
1774 с,   251394.96 м
1775 с,   251379.86 м
1776 с,   251364.76 м
1777 с,   251349.64 м
1778 с,   251334.51 м
1779 с,   251319.37 м
1780 с,   251304.21 м
1781 с,   251289.04 м
1782 с,   251273.85 м
1783 с,   251258.66 м
1784 с,   251243.45 м
1785 с,   251228.23 м
1786 с,   251213.00 м
1787 с,   251197.75 м
1788 с,   251182.49 м
1789 с,   251167.23 м
1790 с,   251151.95 м
1791 с,   251136.66 м
1792 с,   251121.35 м
1793 с,   251106.04 м
1794 с,   251090.72 м
1795 с,   251075.38 м
1796 с,   251060.04 м
1797 с,   251044.68 м
1798 с,   251029.31 м
1799 с,   251013.94 м
1800 с,   250998.55 м
1801 с,   250983.15 м
1802 с,   250967.75 м
1803 с,   250952.33 м
1804 с,   250936.91 м
1805 с,   250921.47 м
1806 с,   250906.03 м
1807 с,   250890.58 м
1808 с,   250875.12 м
1809 с,   250859.65 м
1810 с,   250844.17 м
1811 с,   250828.68 м
1812 с,   250813.19 м
1813 с,   250797.68 м
1814 с,   250782.17 м
1815 с,   250766.65 м
1816 с,   250751.13 м
1817 с,   250735.59 м
1818 с,   250720.05 м
1819 с,   250704.51 м
1820 с,   250688.95 м
1821 с,   250673.39 м
1822 с,   250657.82 м
1823 с,   250642.25 м
1824 с,   250626.67 м
1825 с,   250611.08 м
1826 с,   250595.49 м
1827 с,   250579.89 м
1828 с,   250564.28 м
1829 с,   250548.67 м
1830 с,   250533.06 м
1831 с,   250517.43 м
1832 с,   250501.81 м
1833 с,   250486.18 м
1834 с,   250470.54 м
1835 с,   250454.90 м
1836 с,   250439.26 м
1837 с,   250423.61 м
1838 с,   250407.95 м
1839 с,   250392.30 м
1840 с,   250376.63 м
1841 с,   250360.97 м
1842 с,   250345.30 м
1843 с,   250329.63 м
1844 с,   250313.95 м
1845 с,   250298.27 м
1846 с,   250282.59 м
1847 с,   250266.91 м
1848 с,   250251.22 м
1849 с,   250235.53 м
1850 с,   250219.84 м
1851 с,   250204.15 м
1852 с,   250188.45 м
1853 с,   250172.75 м
1854 с,   250157.05 м
1855 с,   250141.35 м
1856 с,   250125.65 м
1857 с,   250109.95 м
1858 с,   250094.24 м
1859 с,   250078.54 м
